"","iteration_date","model_type","distibution","random_partition","nrow_train","nrow_test","nrounds","n_features","features","AIC","auc"
"47",2020-08-20 16:26:10,"glm","binomial",0.8,108,28,10,2,"temp,fire_season",116.712981276161,0.591482172466609
"48",2020-08-20 16:26:10,"glm","binomial",0.9,122,14,10,2,"temp,fire_season",124.627635932398,0.616881831370159
"49",2020-08-20 16:26:10,"glm","binomial",0.6,81,55,10,2,"temp,hazard",96.6320180295242,0.658013175431276
"50",2020-08-20 16:26:10,"glm","binomial",0.7,95,41,10,2,"temp,hazard",105.743976763711,0.653310384005743
"51",2020-08-20 16:26:10,"glm","binomial",0.8,108,28,10,2,"temp,hazard",113.46236139447,0.649499219184651
"52",2020-08-20 16:26:10,"glm","binomial",0.9,122,14,10,2,"temp,hazard",121.805262030344,0.639857514621589
"53",2020-08-20 16:26:10,"glm","binomial",0.6,81,55,10,2,"fire_season,hazard",93.9438680917309,0.596970366726105
"54",2020-08-20 16:26:10,"glm","binomial",0.7,95,41,10,2,"fire_season,hazard",100.577718615795,0.590298838053491
"55",2020-08-20 16:26:10,"glm","binomial",0.8,108,28,10,2,"fire_season,hazard",109.435214314359,0.608665882602405
"56",2020-08-20 16:26:10,"glm","binomial",0.9,122,14,10,2,"fire_season,hazard",118.420035802291,0.631835296305545
"57",2020-08-20 16:26:10,"glm","binomial",0.6,81,55,10,3,"X_flag,Y_flag,temp",98.5705330225228,0.63755130452497
"58",2020-08-20 16:26:10,"glm","binomial",0.7,95,41,10,3,"X_flag,Y_flag,temp",105.012068117676,0.630212574849889
"59",2020-08-20 16:26:10,"glm","binomial",0.8,108,28,10,3,"X_flag,Y_flag,temp",112.595555879893,0.628148380619543
"60",2020-08-20 16:26:10,"glm","binomial",0.9,122,14,10,3,"X_flag,Y_flag,temp",120.691181927503,0.625589228156885
"61",2020-08-20 16:26:10,"glm","binomial",0.6,81,55,10,3,"X_flag,Y_flag,fire_season",98.1298466706924,0.648295135699582
"62",2020-08-20 16:26:10,"glm","binomial",0.7,95,41,10,3,"X_flag,Y_flag,fire_season",104.68876717123,0.631698311755436
"63",2020-08-20 16:26:10,"glm","binomial",0.8,108,28,10,3,"X_flag,Y_flag,fire_season",112.79392201294,0.634886573586562
"64",2020-08-20 16:26:10,"glm","binomial",0.9,122,14,10,3,"X_flag,Y_flag,fire_season",120.46894733942,0.639103333552432
"65",2020-08-20 16:26:10,"glm","binomial",0.6,81,55,10,3,"X_flag,Y_flag,hazard",94.2086015731049,0.674020121973123
"66",2020-08-20 16:26:10,"glm","binomial",0.7,95,41,10,3,"X_flag,Y_flag,hazard",102.156020434356,0.676386271320433
"67",2020-08-20 16:26:10,"glm","binomial",0.8,108,28,10,3,"X_flag,Y_flag,hazard",109.870898736036,0.685299186497122
"68",2020-08-20 16:26:11,"glm","binomial",0.9,122,14,10,3,"X_flag,Y_flag,hazard",117.636644236454,0.685591279927231
"69",2020-08-20 16:26:11,"glm","binomial",0.6,81,55,10,3,"X_flag,temp,fire_season",99.7497492825385,0.584267292470192
"70",2020-08-20 16:26:11,"glm","binomial",0.7,95,41,10,3,"X_flag,temp,fire_season",108.507974545525,0.582234225393288
"71",2020-08-20 16:26:11,"glm","binomial",0.8,108,28,10,3,"X_flag,temp,fire_season",116.460176625586,0.575171405576115
"72",2020-08-20 16:26:11,"glm","binomial",0.9,122,14,10,3,"X_flag,temp,fire_season",124.137550652088,0.59783688751542
"73",2020-08-20 16:26:11,"glm","binomial",0.6,81,55,10,3,"X_flag,fire_season,hazard",97.5777206237805,0.661965036065529
"74",2020-08-20 16:26:11,"glm","binomial",0.7,95,41,10,3,"X_flag,fire_season,hazard",105.913551646913,0.640061328175277
"75",2020-08-20 16:26:11,"glm","binomial",0.8,108,28,10,3,"X_flag,fire_season,hazard",113.609989397688,0.65776735775096
"76",2020-08-20 16:26:11,"glm","binomial",0.9,122,14,10,3,"X_flag,fire_season,hazard",121.169277713856,0.65167537530147
"77",2020-08-20 16:26:11,"glm","binomial",0.6,81,55,10,3,"Y_flag,temp,fire_season",100.36698177682,0.666466866348808
"78",2020-08-20 16:26:11,"glm","binomial",0.7,95,41,10,3,"Y_flag,temp,fire_season",107.20107827888,0.648240415619512
"79",2020-08-20 16:26:11,"glm","binomial",0.8,108,28,10,3,"Y_flag,temp,fire_season",114.845555383819,0.628351333047517
"80",2020-08-20 16:26:11,"glm","binomial",0.9,122,14,10,3,"Y_flag,temp,fire_season",122.806418593086,0.646784333118971
"81",2020-08-20 16:26:11,"glm","binomial",0.6,81,55,10,3,"Y_flag,temp,hazard",93.7135815188739,0.639902842513524
"82",2020-08-20 16:26:11,"glm","binomial",0.7,95,41,10,3,"Y_flag,temp,hazard",103.414163790917,0.656156072288999
"83",2020-08-20 16:26:11,"glm","binomial",0.8,108,28,10,3,"Y_flag,temp,hazard",112.632247115212,0.677929263541039
"84",2020-08-20 16:26:11,"glm","binomial",0.9,122,14,10,3,"Y_flag,temp,hazard",120.013560583286,0.670268994656397
"85",2020-08-20 16:26:11,"glm","binomial",0.6,81,55,10,3,"Y_flag,fire_season,hazard",97.1872493687196,0.655014806952274
"86",2020-08-20 16:26:11,"glm","binomial",0.7,95,41,10,3,"Y_flag,fire_season,hazard",105.009549196635,0.658994862583173
"87",2020-08-20 16:26:11,"glm","binomial",0.8,108,28,10,3,"Y_flag,fire_season,hazard",113.375107690474,0.673655531420222
"88",2020-08-20 16:26:12,"glm","binomial",0.9,122,14,10,3,"Y_flag,fire_season,hazard",121.074593772561,0.676235116902385
"89",2020-08-20 16:26:12,"glm","binomial",0.6,81,55,10,3,"temp,fire_season,hazard",101.360953058957,0.649743899770216
"90",2020-08-20 16:26:12,"glm","binomial",0.7,95,41,10,3,"temp,fire_season,hazard",107.485723519379,0.627847882209597
"91",2020-08-20 16:26:12,"glm","binomial",0.8,108,28,10,3,"temp,fire_season,hazard",114.67679214598,0.619035206742516
"92",2020-08-20 16:26:12,"glm","binomial",0.9,122,14,10,3,"temp,fire_season,hazard",122.589363097951,0.612682582213064
"93",2020-08-20 16:26:12,"glm","binomial",0.6,81,55,10,4,"X_flag,Y_flag,temp,fire_season",100.730096003265,0.648034240219244
"94",2020-08-20 16:26:12,"glm","binomial",0.7,95,41,10,4,"X_flag,Y_flag,temp,fire_season",107.531653955233,0.649785281944594
"95",2020-08-20 16:26:12,"glm","binomial",0.8,108,28,10,4,"X_flag,Y_flag,temp,fire_season",114.480287499305,0.641913071055694
"96",2020-08-20 16:26:12,"glm","binomial",0.9,122,14,10,4,"X_flag,Y_flag,temp,fire_season",122.157575881668,0.633092000261467
