term,estimate,std.error,statistic,p.value,2.5 %,97.5 %
(Intercept),-2.9096,1.129,-2.5772,0.01,-5.2026,-0.6945
hazard,0.3724,0.0773,4.8172,0,0.2264,0.5351
Y_flagSouth,-0.0353,1.4387,-0.0245,0.9804,-2.8775,2.8121
hazard:Y_flagSouth,-0.0866,0.0964,-0.8981,0.3691,-0.2813,0.1009
